329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
274	3496660484372145539.wav	Нигароние вуҷуд дорад, ки беморон тавассути реҷаи рӯзмарраи худ метавонанд нафарони бештарро сироят кунанд, агар нишонаҳои зуком сабук боқӣ монад.	нигароние вуҷуд дорад ки беморон тавассути реҷаи рӯзмарраи худ метавонанд нафарони бештарро сироят кунанд агар нишонаҳои зуком сабук боқӣ монад	н и г а р о н и е | в у ҷ у д | д о р а д | к и | б е м о р о н | т а в а с с у т и | р е ҷ а и | р ӯ з м а р р а и | х у д | м е т а в о н а н д | н а ф а р о н и | б е ш т а р р о | с и р о я т | к у н а н д | а г а р | н и ш о н а ҳ о и | з у к о м | с а б у к | б о қ ӣ | м о н а д |	210240	FEMALE
573	14404780111686879949.wav	Колонияҳои мӯрчагони артиш дар марҳилаҳои гуногун ҳам роҳ мераванд ва ҳам лона мегузоранд.	колонияҳои мӯрчагони артиш дар марҳилаҳои гуногун ҳам роҳ мераванд ва ҳам лона мегузоранд	к о л о н и я ҳ о и | м ӯ р ч а г о н и | а р т и ш | д а р | м а р ҳ и л а ҳ о и | г у н о г у н | ҳ а м | р о ҳ | м е р а в а н д | в а | ҳ а м | л о н а | м е г у з о р а н д |	145920	FEMALE
1441	8469626465088286635.wav	Роҳҳои ҳархелаи обтамизкунӣ вуҷуд доранд, ва баъзеи онҳо бар зидди таҳдидҳои мушаххас таъсирбахштар мебошанд.	роҳҳои ҳархелаи обтамизкунӣ вуҷуд доранд ва баъзеи онҳо бар зидди таҳдидҳои мушаххас таъсирбахштар мебошанд	р о ҳ ҳ о и | ҳ а р х е л а и | о б т а м и з к у н ӣ | в у ҷ у д | д о р а н д | в а | б а ъ з е и | о н ҳ о | б а р | з и д д и | т а ҳ д и д ҳ о и | м у ш а х х а с | т а ъ с и р б а х ш т а р | м е б о ш а н д |	147840	MALE
1481	1681994811785257441.wav	Сафари пиёдагард (инчунин онро "сафари буттагӣ", "сафари сайругашт" ва ё "сафари пиёдагард" меноманд), ки онҳо аз сайругашт дар давоми якчанд соат ва ё рӯз иборат мебошад.	сафари пиёдагард инчунин онро сафари буттагӣ сафари сайругашт ва ё сафари пиёдагард меноманд ки онҳо аз сайругашт дар давоми якчанд соат ва ё рӯз иборат мебошад	с а ф а р и | п и ё д а г а р д | и н ч у н и н | о н р о | с а ф а р и | б у т т а г ӣ | с а ф а р и | с а й р у г а ш т | в а | ё | с а ф а р и | п и ё д а г а р д | м е н о м а н д | к и | о н ҳ о | а з | с а й р у г а ш т | д а р | д а в о м и | я к ч а н д | с о а т | в а | ё | р ӯ з | и б о р а т | м е б о ш а д |	224640	FEMALE
54	8063872411305835763.wav	Мурофиа ҳамчунин санаи ҳуқуқи гумонбар барои мурофиаи фавриро муайян мекунад.	мурофиа ҳамчунин санаи ҳуқуқи гумонбар барои мурофиаи фавриро муайян мекунад	м у р о ф и а | ҳ а м ч у н и н | с а н а и | ҳ у қ у қ и | г у м о н б а р | б а р о и | м у р о ф и а и | ф а в р и р о | м у а й я н | м е к у н а д |	162240	FEMALE
682	6841286824615447413.wav	Дар мавсими боронгариҳо (ноябр то март) ҳаҷми об афзунтар ва шаршараҳо назарработар хоҳанд гашт.	дар мавсими боронгариҳо ноябр то март ҳаҷми об афзунтар ва шаршараҳо назарработар хоҳанд гашт	д а р | м а в с и м и | б о р о н г а р и ҳ о | н о я б р | т о | м а р т | ҳ а ҷ м и | о б | а ф з у н т а р | в а | ш а р ш а р а ҳ о | н а з а р р а б о т а р | х о ҳ а н д | г а ш т |	134400	FEMALE
1385	18344707452414838353.wav	Дар давоми ин давраҳо байни бисёр асилзодагон барои тахт ҷанги шадид ба амал омад.	дар давоми ин давраҳо байни бисёр асилзодагон барои тахт ҷанги шадид ба амал омад	д а р | д а в о м и | и н | д а в р а ҳ о | б а й н и | б и с ё р | а с и л з о д а г о н | б а р о и | т а х т | ҷ а н г и | ш а д и д | б а | а м а л | о м а д |	133440	FEMALE
287	3863776893231837535.wav	Созмони "Озодкунии ҳайвонот ва ҷамъияти шоҳии ҳифзи ҳайвонот (RSPCA)" бори дигар даъвати худро оиди насби ҳатмии камераҳои назоратӣ дар ҳама қассобхонаҳои Австралия таъкид намуд.	созмони озодкунии ҳайвонот ва ҷамъияти шоҳии ҳифзи ҳайвонот rspca бори дигар даъвати худро оиди насби ҳатмии камераҳои назоратӣ дар ҳама қассобхонаҳои австралия таъкид намуд	с о з м о н и | о з о д к у н и и | ҳ а й в о н о т | в а | ҷ а м ъ и я т и | ш о ҳ и и | ҳ и ф з и | ҳ а й в о н о т | r s p c a | б о р и | д и г а р | д а ъ в а т и | х у д р о | о и д и | н а с б и | ҳ а т м и и | к а м е р а ҳ о и | н а з о р а т ӣ | д а р | ҳ а м а | қ а с с о б х о н а ҳ о и | а в с т р а л и я | т а ъ к и д | н а м у д |	245760	MALE
467	11260742796246990702.wav	Аммо оё тасаввуроти мо бар воқеият асос ёфтааст? Чаро қасрҳо умуман сохта шуда буданд? Онҳо чӣ тавр таҳия ва бунёд гардиданд?	аммо оё тасаввуроти мо бар воқеият асос ёфтааст чаро қасрҳо умуман сохта шуда буданд онҳо чӣ тавр таҳия ва бунёд гардиданд	а м м о | о ё | т а с а в в у р о т и | м о | б а р | в о қ е и я т | а с о с | ё ф т а а с т | ч а р о | қ а с р ҳ о | у м у м а н | с о х т а | ш у д а | б у д а н д | о н ҳ о | ч ӣ | т а в р | т а ҳ и я | в а | б у н ё д | г а р д и д а н д |	168960	MALE
421	9814027010204401828.wav	Тақрибан дар асри 15 қисми шимолии Эстония зери таъсири бузурги фарҳанги Олмон қарор дошт.	тақрибан дар асри 15 қисми шимолии эстония зери таъсири бузурги фарҳанги олмон қарор дошт	т а қ р и б а н | д а р | а с р и | 1 5 | қ и с м и | ш и м о л и и | э с т о н и я | з е р и | т а ъ с и р и | б у з у р г и | ф а р ҳ а н г и | о л м о н | қ а р о р | д о ш т |	134400	FEMALE
1153	4321648033427616542.wav	Бисёр ритмҳои мушоҳидашаванда дар физиология ва рафтор бисёр вақт аз мавҷуд будани давраҳои эндогенӣ ва истеҳсоли онҳо тавассути соати биологӣ вобастагии калон дорад.	бисёр ритмҳои мушоҳидашаванда дар физиология ва рафтор бисёр вақт аз мавҷуд будани давраҳои эндогенӣ ва истеҳсоли онҳо тавассути соати биологӣ вобастагии калон дорад	б и с ё р | р и т м ҳ о и | м у ш о ҳ и д а ш а в а н д а | д а р | ф и з и о л о г и я | в а | р а ф т о р | б и с ё р | в а қ т | а з | м а в ҷ у д | б у д а н и | д а в р а ҳ о и | э н д о г е н ӣ | в а | и с т е ҳ с о л и | о н ҳ о | т а в а с с у т и | с о а т и | б и о л о г ӣ | в о б а с т а г и и | к а л о н | д о р а д |	252480	FEMALE
